date,time,entidad,compra,venta
2026-07-10,2026-07-10T12:08:39Z,Asociación Romana,57.75,
2026-07-10,2026-07-10T12:08:39Z,Cambio Extranjero,58.25,
2026-07-10,2026-07-10T12:08:39Z,Panora Exchange,58.349999999999994,59
2026-07-10,2026-07-10T12:08:39Z,RM,58.5,59.1
2026-07-10,2026-07-10T12:08:39Z,Moneycorps,58.3,59.25
2026-07-10,2026-07-10T12:08:39Z,Gamelin,58.3,59.25
2026-07-10,2026-07-10T12:08:39Z,SCT,58.4,59.5
2026-07-10,2026-07-10T12:08:39Z,Taveras,58.6,59.6
2026-07-10,2026-07-10T12:08:39Z,Motor Crédito,58.3,59.8
2026-07-10,2026-07-10T12:08:39Z,Banco Unión,57.9,59.9
2026-07-10,2026-07-10T12:08:39Z,Bonanza Banco,58,60.5
2026-07-10,2026-07-10T12:08:39Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-10,2026-07-10T12:08:39Z,Banco Caribe,57.75,60.75
2026-07-10,2026-07-10T12:08:39Z,Banreservas,57.75,60.75
2026-07-10,2026-07-10T12:08:39Z,Abonap,57.53,60.760000000000005
2026-07-10,2026-07-10T12:08:39Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-10,2026-07-10T12:08:39Z,Banco Lafise,57.5,60.8
2026-07-10,2026-07-10T12:08:39Z,Asociación Popular de Ahorros y Préstamos,57.5,60.8
2026-07-10,2026-07-10T12:08:39Z,Banesco,57.5,60.849999999999994
2026-07-10,2026-07-10T12:08:39Z,Banco BHD,57.05,60.9
2026-07-10,2026-07-10T12:08:39Z,Asociación Peravia de Ahorros y Préstamos,56.8,60.949999999999996
