date,time,entidad,compra,venta
2026-07-03,2026-07-03T12:08:30Z,Cambio Extranjero,58.5,
2026-07-03,2026-07-03T12:08:30Z,Asociación Romana,57.65,
2026-07-03,2026-07-03T12:08:30Z,SCT,58.5,59.6
2026-07-03,2026-07-03T12:08:30Z,Taveras,58.8,59.6
2026-07-03,2026-07-03T12:08:30Z,Panora Exchange,58.75,59.6
2026-07-03,2026-07-03T12:08:30Z,Moneycorps,58.7,59.6
2026-07-03,2026-07-03T12:08:30Z,Gamelin,58.5,59.7
2026-07-03,2026-07-03T12:08:30Z,Motor Crédito,58.6,60.2
2026-07-03,2026-07-03T12:08:30Z,Banco Unión,58.5,60.25
2026-07-03,2026-07-03T12:08:30Z,RM,59.5,60.5
2026-07-03,2026-07-03T12:08:30Z,Bonanza Banco,58.5,60.5
2026-07-03,2026-07-03T12:08:30Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-03,2026-07-03T12:08:30Z,Banreservas,57.75,60.75
2026-07-03,2026-07-03T12:08:30Z,Banco Caribe,58.25,60.75
2026-07-03,2026-07-03T12:08:30Z,Banco Lafise,57.5,60.8
2026-07-03,2026-07-03T12:08:30Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-03,2026-07-03T12:08:30Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-07-03,2026-07-03T12:08:30Z,Abonap,57.75,60.809999999999995
2026-07-03,2026-07-03T12:08:30Z,Banesco,57.5,60.849999999999994
2026-07-03,2026-07-03T12:08:30Z,Banco BHD,57.05,60.9
2026-07-03,2026-07-03T12:08:30Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
