date,time,entidad,compra,venta
2026-07-29,2026-07-29T11:59:15Z,Cambio Extranjero,57.9,
2026-07-29,2026-07-29T11:59:15Z,Asociación Romana,57.3,
2026-07-29,2026-07-29T11:59:15Z,Panora Exchange,58,58.5
2026-07-29,2026-07-29T11:59:15Z,Taveras,58,58.6
2026-07-29,2026-07-29T11:59:15Z,RM,58.25,58.6
2026-07-29,2026-07-29T11:59:15Z,Moneycorps,58,58.75
2026-07-29,2026-07-29T11:59:15Z,SCT,58.2,58.8
2026-07-29,2026-07-29T11:59:15Z,Gamelin,58,58.8
2026-07-29,2026-07-29T11:59:15Z,Banco Unión,57.5,59.5
2026-07-29,2026-07-29T11:59:15Z,Motor Crédito,57.8,59.5
2026-07-29,2026-07-29T11:59:15Z,Banco BHD,56,59.8
2026-07-29,2026-07-29T11:59:15Z,Bonanza Banco,57.8,59.8
2026-07-29,2026-07-29T11:59:15Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-07-29,2026-07-29T11:59:15Z,Asociación La Nacional de Ahorros y Préstamos,56.6,60
2026-07-29,2026-07-29T11:59:15Z,Banreservas,56.5,60
2026-07-29,2026-07-29T11:59:15Z,Banco Lafise,56.7,60
2026-07-29,2026-07-29T11:59:15Z,Banesco,56.8,60
2026-07-29,2026-07-29T11:59:15Z,Asociación Peravia de Ahorros y Préstamos,56.1,60.25
